Time,Cycle,Iteration,PacketSize,B,C,R_last
292,8,72,750,10,1040,235
296,8,73,1750,10,1921,750
300,8,74,1750,9,1876,1750
304,8,75,235,10,1589,1750
308,8,76,1050,10,1181,235
312,8,77,235,10,200,1050
316,8,78,560,12,626,235
320,8,79,750,12,831,560
324,8,80,235,12,200,750
328,8,81,1050,18,1602,235
332,8,82,2350,17,2913,1050
336,8,83,235,17,1544,2350
340,8,84,1750,17,2074,235
344,8,85,1750,17,1793,1750
348,8,86,235,17,634,1750
352,8,87,4300,17,200,235
356,8,88,235,17,469,4300
360,8,89,4300,17,200,235
4,9,0,235,19,1494,4300
8,9,1,1750,20,1958,235
12,9,2,1750,19,1946,1750
16,9,3,2350,18,2632,1750
20,9,4,2350,17,2917,2350
24,9,5,235,17,1855,2350
28,9,6,1750,16,2269,235
32,9,7,2350,17,2761,1750
36,9,8,3850,18,4119,2350
40,9,9,235,18,3320,3850
44,9,10,3850,18,4804,235
48,9,11,235,18,3337,3850
52,9,12,3000,19,3815,235
56,9,13,3000,19,3503,3000
60,9,14,3850,19,4326,3000
64,9,15,3850,19,5410,3850
68,9,16,3850,19,5121,3850
72,9,17,3850,20,5096,3850
76,9,18,3850,20,4826,3850
80,9,19,3850,20,4443,3850
84,9,20,3850,20,4014,3850
88,9,21,3850,20,5378,3850
92,9,22,3850,19,4761,3850
96,9,23,3850,20,4939,3850
100,9,24,3850,20,4785,3850
104,9,25,3850,20,5273,3850
108,9,26,3850,20,4300,3850
112,9,27,3850,19,4761,3850
116,9,28,3850,19,5404,3850
120,9,29,3850,20,4747,3850
124,9,30,3850,20,4197,3850
128,9,31,3850,21,2993,3850
132,9,32,3850,22,4095,3850
136,9,33,3850,21,5548,3850
140,9,34,3850,21,4150,3850
144,9,35,3850,22,3771,3850
148,9,36,3850,21,2388,3850
152,9,37,3850,21,1482,3850
156,9,38,3850,20,1618,3850
160,9,39,3850,20,1071,3850
164,9,40,3850,21,1799,3850
168,9,41,3850,21,950,3850
172,9,42,3850,21,200,3850
176,9,43,3850,22,549,3850
180,9,44,3850,22,200,3850
184,9,45,3850,27,1061,3850
188,9,46,3850,27,200,3850
192,9,47,3850,28,294,3850
196,9,48,3850,28,200,3850
200,9,49,3850,23,1128,3850
204,9,50,3850,23,200,3850
208,9,51,3850,25,389,3850
